userId,movieId,rating,timestamp,title,genres,year,clean_title,average_rating,rating_count,content
1,1,4.0,964982703,Toy Story (1995),adventure animation children comedy fantasy,1995,Toy Story,3.92093023255814,215,Toy Story adventure animation children comedy fantasy
1,3,4.0,964981247,Grumpier Old Men (1995),comedy romance,1995,Grumpier Old Men,3.2596153846153846,52,Grumpier Old Men comedy romance
1,6,4.0,964982224,Heat (1995),action crime thriller,1995,Heat,3.946078431372549,102,Heat action crime thriller
1,47,5.0,964983815,Seven (a.k.a. Se7en) (1995),mystery thriller,1995,Seven (a.k.a. Se7en),3.975369458128079,203,Seven (a.k.a. Se7en) mystery thriller
1,50,5.0,964982931,"Usual Suspects, The (1995)",crime mystery thriller,1995,"Usual Suspects, The",4.237745098039215,204,"Usual Suspects, The crime mystery thriller"
1,70,3.0,964982400,From Dusk Till Dawn (1996),action comedy horror thriller,1996,From Dusk Till Dawn,3.5090909090909093,55,From Dusk Till Dawn action comedy horror thriller
1,101,5.0,964980868,Bottle Rocket (1996),adventure comedy crime romance,1996,Bottle Rocket,3.782608695652174,23,Bottle Rocket adventure comedy crime romance
1,110,4.0,964982176,Braveheart (1995),action drama war,1995,Braveheart,4.031645569620253,237,Braveheart action drama war
1,151,5.0,964984041,Rob Roy (1995),action drama romance war,1995,Rob Roy,3.5454545454545454,44,Rob Roy action drama romance war
1,157,5.0,964984100,Canadian Bacon (1995),comedy war,1995,Canadian Bacon,2.863636363636364,11,Canadian Bacon comedy war
1,163,5.0,964983650,Desperado (1995),action romance western,1995,Desperado,3.560606060606061,66,Desperado action romance western
1,216,5.0,964981208,Billy Madison (1995),comedy,1995,Billy Madison,3.326530612244898,49,Billy Madison comedy
1,223,3.0,964980985,Clerks (1994),comedy,1994,Clerks,3.855769230769231,104,Clerks comedy
1,231,5.0,964981179,Dumb & Dumber (Dumb and Dumber) (1994),adventure comedy,1994,Dumb & Dumber (Dumb and Dumber),3.0601503759398496,133,Dumb & Dumber (Dumb and Dumber) adventure comedy
1,235,4.0,964980908,Ed Wood (1994),comedy drama,1994,Ed Wood,3.678571428571429,70,Ed Wood comedy drama
